,customer,project,total_hours,discount%,weekday,hour,num_projects,Frontend%,Backend%,UI/UX%,DevOps%,Maintenance%,Testing%,Consulting%,Security%,class,labels
56,56,56,32.0,26.76,1,11,3,27.5,17.9,3.0,0.0,14.1,19.9,14.3,3.3,security_focused,7
57,57,57,40.0,14.42,1,16,3,18.8,15.1,7.6,18.0,18.2,14.0,0.0,8.4,full_service_partners,3
58,58,58,50.0,3.82,1,10,2,18.2,17.7,14.0,14.2,11.1,0.0,13.9,10.9,technical_diversified,5
59,59,59,60.0,0.0,5,21,1,15.6,14.6,13.6,13.6,0.0,4.8,13.5,24.4,full_stack_enterprise,2
60,60,60,38.0,28.35,4,21,2,26.9,14.4,13.0,8.1,6.8,14.2,2.8,13.8,security_focused,7
61,61,61,42.0,18.83,5,14,1,20.3,18.4,5.3,7.3,16.0,10.5,20.0,2.2,technical_diversified,5
62,62,62,28.0,19.35,5,14,6,19.0,16.4,18.3,10.1,7.1,10.1,15.6,3.5,innovation_focused,6
63,63,63,27.0,26.92,6,8,3,20.0,11.9,10.4,15.9,10.9,8.2,12.4,10.3,innovation_focused,6
64,64,64,57.0,1.79,7,8,6,26.6,10.6,19.3,7.6,16.9,7.5,9.9,1.6,frontend_specialists,0
65,65,65,65.0,12.13,2,9,3,22.0,11.7,15.8,0.0,2.4,19.2,8.2,20.7,security_focused,7
66,66,66,44.0,13.11,7,11,1,15.8,20.7,5.9,16.9,6.1,1.2,10.8,22.6,full_stack_enterprise,2
67,67,67,60.0,20.94,2,20,5,23.7,21.9,6.7,2.5,10.6,10.3,24.3,0.0,maintenance_specialists,4
68,68,68,50.0,9.46,7,9,6,21.7,27.9,1.7,17.8,10.2,8.5,6.9,5.3,backend_infrastructure,9
69,69,69,35.0,5.39,3,17,6,32.1,13.9,6.6,0.0,22.4,0.0,10.8,14.2,full_service_partners,3
70,70,70,50.0,5.32,6,17,7,23.2,26.1,10.3,0.0,7.6,16.7,14.3,1.7,maintenance_specialists,4
71,71,71,68.0,24.2,5,20,5,32.3,14.5,5.2,13.3,4.9,8.0,16.4,5.5,devops_specialists,8
72,72,72,44.0,9.06,7,12,3,19.0,25.0,11.7,16.9,11.8,0.0,14.3,1.3,devops_specialists,8
73,73,73,68.0,10.58,2,9,4,14.0,26.6,16.7,9.4,1.4,20.0,12.0,0.0,backend_focused,1
75,75,75,57.0,9.41,5,13,2,0.0,10.0,31.1,3.3,15.5,22.9,13.6,3.6,frontend_specialists,0
76,76,76,46.0,1.36,7,10,4,7.2,17.4,7.6,6.5,7.7,15.1,25.8,12.8,technical_diversified,5
77,77,77,41.0,2.35,4,9,2,10.6,10.7,24.6,11.3,15.1,16.1,3.7,7.8,frontend_specialists,0
78,78,78,46.0,14.55,5,21,6,33.1,11.8,6.1,0.7,9.1,12.8,11.7,14.6,security_focused,7
80,80,80,42.0,13.38,1,16,7,7.4,17.2,19.4,15.0,14.5,16.6,0.1,9.7,backend_focused,1
81,81,81,50.0,18.44,3,8,1,15.6,23.6,18.1,4.7,8.8,21.8,3.0,4.4,backend_focused,1
82,82,82,67.0,2.1,5,13,5,19.8,20.8,8.0,11.5,19.3,7.9,10.6,2.1,full_service_partners,3
83,83,83,37.0,2.64,7,14,1,14.9,19.8,3.6,5.9,13.0,5.4,26.9,10.4,technical_diversified,5
84,84,84,33.0,33.03,6,20,4,14.8,12.9,14.1,5.7,9.5,12.7,10.6,19.5,full_stack_enterprise,2
85,85,85,37.0,24.86,7,16,6,16.8,19.4,11.4,0.0,10.6,13.0,11.7,17.1,maintenance_specialists,4
86,86,86,59.0,21.15,5,14,2,11.2,14.9,19.8,12.4,10.1,13.0,6.2,12.3,frontend_specialists,0
87,87,87,50.0,9.72,1,11,7,16.2,26.1,3.7,6.9,13.0,19.8,3.6,10.7,backend_focused,1
88,88,88,37.0,13.1,3,19,1,19.3,15.0,11.1,16.3,8.3,0.0,10.5,19.5,full_stack_enterprise,2
89,89,89,53.0,14.99,3,9,2,19.1,11.2,11.3,12.3,0.0,22.2,13.7,10.2,security_focused,7
90,90,90,46.0,25.51,7,13,1,11.3,18.4,11.9,13.7,14.3,20.6,8.3,1.5,backend_focused,1
91,91,91,60.0,18.22,5,19,5,23.9,16.3,4.2,15.0,11.0,9.4,16.1,4.1,devops_specialists,8
92,92,92,34.0,19.21,4,19,5,20.8,11.0,10.4,10.5,11.4,16.1,16.7,3.2,security_focused,7
93,93,93,40.0,13.66,6,21,6,10.6,0.7,11.5,15.6,10.8,13.0,19.2,18.5,maintenance_specialists,4
94,94,94,39.0,21.34,6,17,1,30.8,23.6,3.3,2.6,0.0,16.1,19.3,4.3,technical_diversified,5
95,95,95,23.0,17.42,2,19,7,19.4,18.6,18.3,13.0,6.1,4.2,9.8,10.6,innovation_focused,6
96,96,96,49.0,15.35,5,18,2,25.5,20.9,0.0,9.0,16.3,5.5,14.5,8.4,full_service_partners,3
97,97,97,49.0,9.06,5,14,3,23.1,27.6,9.9,18.2,3.3,12.1,1.3,4.6,backend_focused,1
98,98,98,45.0,14.09,6,21,2,18.6,20.0,12.2,11.9,18.7,4.6,6.8,7.2,full_service_partners,3
99,99,99,41.0,6.36,2,13,5,20.2,20.2,11.8,11.6,0.0,11.7,14.8,9.7,technical_diversified,5
100,100,100,24.0,14.68,1,11,5,9.3,20.6,9.5,2.6,16.5,16.7,12.8,12.1,innovation_focused,6
101,101,101,39.0,15.71,5,20,5,31.0,26.2,0.1,8.5,11.8,17.7,4.7,0.0,backend_infrastructure,9
102,102,102,40.0,0.0,4,18,2,14.3,24.1,3.3,21.1,10.2,11.7,0.0,15.3,backend_focused,1
103,103,103,33.0,13.16,1,14,7,32.1,23.1,3.8,6.0,14.2,3.3,4.3,13.1,backend_infrastructure,9
104,104,104,43.0,5.59,1,17,3,19.4,17.3,0.0,9.7,8.8,13.0,15.4,16.5,technical_diversified,5
105,105,105,51.0,18.99,1,13,5,17.9,20.4,19.7,8.9,15.3,12.2,2.8,2.8,frontend_specialists,0
106,106,106,73.0,20.1,5,13,3,17.3,20.7,27.9,14.3,4.0,12.9,2.8,0.0,frontend_specialists,0
107,107,107,48.0,11.59,6,9,7,12.9,26.3,4.1,15.7,10.6,8.8,12.5,9.0,maintenance_specialists,4
108,108,108,49.0,19.39,1,18,7,25.9,27.8,0.0,8.5,7.0,10.0,6.5,14.3,backend_infrastructure,9
109,109,109,44.0,19.73,3,9,1,21.1,15.8,8.0,14.8,8.9,8.3,6.7,16.5,full_stack_enterprise,2
111,111,111,45.0,27.27,5,13,5,14.6,27.8,14.5,9.4,12.2,14.3,4.9,2.2,backend_focused,1
112,112,112,46.0,9.2,2,8,1,21.7,16.9,11.6,8.8,2.4,17.3,13.2,8.2,technical_diversified,5
113,113,113,82.0,26.77,6,15,4,22.4,23.8,11.4,15.1,8.5,5.5,3.5,9.8,devops_specialists,8
114,114,114,42.0,13.2,1,16,3,23.9,27.8,2.9,13.2,9.5,10.3,4.5,7.9,backend_infrastructure,9
115,115,115,50.0,8.25,5,15,5,25.2,20.9,8.0,1.9,24.6,13.1,0.9,5.5,full_service_partners,3
116,116,116,44.0,12.19,7,17,3,9.1,16.2,18.0,2.3,13.8,7.5,7.2,25.9,full_stack_enterprise,2
117,117,117,27.0,6.2,6,13,1,14.6,19.3,19.3,17.1,8.4,17.0,2.6,1.7,backend_focused,1
118,118,118,62.0,21.28,4,20,5,23.4,16.1,9.6,18.0,11.4,9.6,6.6,5.3,devops_specialists,8
119,119,119,56.0,2.18,4,17,2,21.6,18.6,14.8,0.0,6.8,11.6,14.3,12.4,technical_diversified,5
120,120,120,57.0,26.12,6,8,7,11.9,27.9,8.2,6.6,17.5,3.4,14.5,10.0,maintenance_specialists,4
121,121,121,31.0,7.51,5,20,1,9.5,18.2,10.9,13.7,10.7,19.3,6.0,11.8,backend_focused,1
122,122,122,66.0,21.69,5,15,4,24.7,31.4,0.0,2.6,18.9,0.0,3.1,19.3,full_service_partners,3
123,123,123,24.0,15.19,4,9,5,18.5,17.9,17.0,13.0,12.4,0.5,9.2,11.6,innovation_focused,6
124,124,124,54.0,17.17,7,11,6,28.1,14.9,18.9,11.5,11.7,0.0,14.9,0.0,frontend_specialists,0
125,125,125,78.0,10.28,4,8,7,20.7,21.4,9.9,13.7,13.6,8.4,9.2,3.2,maintenance_specialists,4
126,126,126,30.0,17.82,3,8,5,17.6,26.6,14.7,10.4,9.4,11.6,0.0,9.6,innovation_focused,6
127,127,127,37.0,16.08,4,12,7,23.1,24.3,2.4,6.0,18.1,1.8,10.8,13.5,full_service_partners,3
128,128,128,46.0,3.34,7,19,1,15.9,16.1,15.4,5.7,6.8,5.0,13.8,21.4,full_stack_enterprise,2
129,129,129,37.0,7.3,7,19,3,23.8,11.8,7.3,17.1,13.2,18.0,0.3,8.6,security_focused,7
130,130,130,22.0,10.67,3,21,7,30.9,23.0,4.1,12.3,6.9,2.1,18.8,1.8,backend_infrastructure,9
131,131,131,46.0,8.96,5,13,4,29.7,16.6,11.4,4.5,7.1,2.9,14.0,13.9,full_stack_enterprise,2
132,132,132,29.0,25.02,1,18,4,28.1,23.4,8.3,9.8,3.0,2.7,22.2,2.4,technical_diversified,5
133,133,133,52.0,15.06,6,16,5,20.6,25.5,4.4,8.3,11.3,9.9,10.5,9.4,backend_infrastructure,9
134,134,134,31.0,8.77,6,10,2,32.8,18.3,4.9,11.1,1.5,8.2,11.4,11.9,backend_infrastructure,9
135,135,135,68.0,11.07,6,19,5,18.0,21.8,0.0,11.2,9.6,12.4,18.5,8.5,maintenance_specialists,4
136,136,136,33.0,10.96,1,20,2,14.3,19.4,2.9,12.1,4.1,6.7,31.5,9.0,technical_diversified,5
137,137,137,40.0,12.7,2,9,2,24.6,10.0,14.2,8.3,15.5,14.7,8.4,4.2,security_focused,7
138,138,138,57.0,6.4,6,21,5,10.5,14.4,14.6,14.5,11.6,5.4,11.9,17.2,full_stack_enterprise,2
139,139,139,27.0,8.49,3,9,1,28.3,18.3,8.0,1.3,16.6,0.0,13.0,14.5,full_service_partners,3
140,140,140,48.0,21.13,4,15,2,15.8,4.6,9.8,11.5,12.7,12.3,13.8,19.5,full_stack_enterprise,2
141,141,141,65.0,16.48,3,16,1,17.4,18.3,0.9,13.4,11.8,14.6,14.1,9.5,technical_diversified,5
142,142,142,21.0,13.78,2,15,1,20.8,14.8,13.9,15.2,15.9,5.2,7.4,6.7,innovation_focused,6
143,143,143,48.0,15.02,7,19,6,8.3,23.8,5.5,12.5,12.6,11.6,15.8,9.9,maintenance_specialists,4
144,144,144,49.0,14.64,2,10,1,23.4,23.3,10.3,11.7,9.2,10.7,6.5,4.8,backend_focused,1
145,145,145,57.0,13.33,3,20,4,35.8,14.8,8.1,15.5,4.2,4.5,17.0,0.0,devops_specialists,8
146,146,146,26.0,19.14,4,17,5,29.1,23.0,4.9,7.0,14.3,7.4,0.0,14.3,backend_infrastructure,9
147,147,147,25.0,18.55,5,17,7,9.2,22.2,19.9,8.3,7.1,7.7,10.8,14.9,innovation_focused,6
148,148,148,53.0,2.43,5,15,6,34.2,23.4,11.4,16.4,0.2,0.0,0.0,14.4,backend_infrastructure,9
149,149,149,49.0,13.95,5,17,3,19.9,22.6,11.1,14.7,13.3,9.8,0.5,8.0,full_service_partners,3
150,150,150,49.0,2.95,6,21,7,24.0,21.8,14.5,15.7,3.0,11.4,9.6,0.0,devops_specialists,8
151,151,151,50.0,20.08,2,18,1,26.1,24.9,5.1,13.0,6.8,9.3,6.1,8.7,backend_infrastructure,9
152,152,152,35.0,21.14,6,21,4,18.8,21.5,13.7,14.7,6.9,5.3,12.8,6.3,innovation_focused,6
153,153,153,48.0,10.11,3,13,2,14.2,22.4,3.7,15.3,0.0,21.2,17.0,6.2,backend_focused,1
154,154,154,49.0,14.07,2,13,6,18.2,13.5,6.4,0.0,9.3,17.0,12.4,23.1,full_stack_enterprise,2
155,155,155,34.0,0.0,4,21,5,20.9,10.7,3.4,0.1,20.6,14.8,16.7,12.6,full_service_partners,3
156,156,156,73.0,22.78,6,16,7,12.0,27.9,10.8,4.0,13.9,11.0,11.7,8.6,maintenance_specialists,4
157,157,157,52.0,20.68,1,15,6,25.2,20.3,10.5,7.4,12.8,10.0,9.2,4.5,maintenance_specialists,4
158,158,158,27.0,24.2,2,8,3,26.5,16.7,2.1,17.3,0.0,12.3,16.1,9.0,innovation_focused,6
159,159,159,55.0,26.89,4,14,1,17.7,15.8,3.6,18.6,4.6,23.5,16.1,0.0,security_focused,7
160,160,160,30.0,5.21,7,13,4,26.9,22.4,7.4,10.2,0.0,12.4,7.0,13.7,backend_infrastructure,9
161,161,161,57.0,22.1,4,12,5,21.8,24.5,16.8,11.2,0.0,7.0,13.7,5.0,frontend_specialists,0
162,162,162,62.0,26.83,4,10,3,18.5,16.2,3.4,5.1,10.8,17.8,12.9,15.2,security_focused,7
163,163,163,33.0,3.04,1,8,7,13.7,16.0,12.8,10.0,8.7,7.8,13.5,17.6,full_stack_enterprise,2
164,164,164,59.0,13.63,5,15,6,20.4,25.4,4.5,18.3,7.8,6.8,16.9,0.0,devops_specialists,8
165,165,165,51.0,12.09,3,19,6,4.0,30.7,25.7,10.1,0.0,12.5,2.9,14.1,backend_focused,1
166,166,166,57.0,21.84,2,10,5,26.8,15.9,15.3,6.8,6.8,12.4,10.9,5.1,security_focused,7
167,167,167,73.0,0.0,1,21,3,21.0,23.6,16.4,0.0,4.6,4.1,17.9,12.5,technical_diversified,5
168,168,168,41.0,29.53,4,14,3,26.2,25.0,9.6,15.2,9.4,1.4,8.5,4.7,backend_infrastructure,9
169,169,169,34.0,14.1,1,13,5,31.3,21.9,11.7,6.7,12.4,7.2,8.7,0.0,backend_infrastructure,9
170,170,170,32.0,22.33,2,9,7,27.6,36.9,0.0,3.0,7.8,13.0,7.9,3.8,backend_infrastructure,9
171,171,171,33.0,14.52,3,9,7,14.6,23.1,19.9,0.0,16.5,14.7,8.0,3.2,frontend_specialists,0
172,172,172,44.0,18.94,2,18,7,0.0,18.4,7.3,11.4,17.3,12.3,11.5,21.7,maintenance_specialists,4
173,173,173,50.0,0.0,7,10,5,22.4,18.4,4.5,11.0,11.5,12.9,7.1,12.2,full_stack_enterprise,2
174,174,174,49.0,11.92,6,10,3,21.4,17.5,14.5,18.0,0.0,7.8,15.2,5.6,devops_specialists,8
175,175,175,57.0,21.78,1,9,6,20.1,27.8,0.8,10.1,7.0,7.8,10.0,16.5,full_stack_enterprise,2
176,176,176,45.0,17.31,6,20,2,18.3,21.4,10.7,0.0,19.1,4.9,13.8,11.7,full_service_partners,3
177,177,177,67.0,1.91,4,21,1,15.0,29.6,19.0,8.0,5.2,10.2,9.1,4.0,backend_focused,1
178,178,178,41.0,15.49,6,15,1,14.7,12.8,12.9,12.5,8.8,17.3,17.0,4.1,technical_diversified,5
179,179,179,86.0,8.45,4,8,4,24.7,25.1,9.2,0.0,21.8,2.6,9.4,7.3,full_service_partners,3
180,180,180,54.0,7.76,5,10,6,17.8,16.8,16.1,10.4,12.2,11.5,14.6,0.6,maintenance_specialists,4
181,181,181,32.0,2.83,5,8,7,16.4,16.5,10.9,12.9,11.2,5.7,6.9,19.5,full_stack_enterprise,2
182,182,182,29.0,19.95,3,11,7,21.1,9.7,16.3,15.7,13.2,6.9,7.7,9.4,innovation_focused,6
183,183,183,52.0,23.9,3,8,5,34.1,15.8,1.4,22.2,6.9,2.4,6.9,10.3,devops_specialists,8
184,184,184,42.0,31.96,6,8,3,18.6,20.2,20.4,21.3,0.0,7.8,7.1,4.6,devops_specialists,8
185,185,185,56.0,3.21,6,19,6,20.2,19.2,15.2,6.3,9.9,15.5,4.0,9.6,security_focused,7
186,186,186,52.0,21.14,5,11,3,15.1,21.2,13.4,20.7,8.7,11.1,6.2,3.7,devops_specialists,8
187,187,187,44.0,21.67,5,13,3,31.4,22.6,10.3,0.0,12.7,8.4,5.0,9.6,backend_infrastructure,9
188,188,188,32.0,10.36,2,18,6,31.1,24.2,0.0,7.9,4.7,2.6,16.3,13.2,backend_infrastructure,9
189,189,189,22.0,7.66,2,13,1,19.4,12.7,10.3,17.7,17.5,11.3,8.7,2.4,innovation_focused,6
190,190,190,38.0,6.31,6,19,4,18.2,9.7,16.6,10.9,0.0,14.6,10.4,19.6,full_stack_enterprise,2
191,191,191,58.0,10.78,4,11,4,18.8,33.5,0.5,5.6,9.6,15.5,7.1,9.4,backend_focused,1
192,192,192,48.0,16.62,7,14,3,20.2,22.4,13.0,21.0,0.0,12.2,9.3,1.9,devops_specialists,8
193,193,193,26.0,25.88,6,15,3,12.9,19.0,8.1,10.3,19.5,9.9,9.1,11.0,innovation_focused,6
194,194,194,48.0,23.84,4,9,3,21.6,18.4,11.3,19.1,6.8,6.8,8.3,7.6,devops_specialists,8
195,195,195,51.0,2.08,5,16,3,21.2,16.0,10.6,7.0,17.8,15.0,1.7,10.6,full_service_partners,3
196,196,196,32.0,8.69,2,12,4,17.3,20.6,26.9,1.2,23.6,0.0,1.4,9.0,frontend_specialists,0
197,197,197,47.0,25.4,5,13,7,21.0,23.2,10.2,9.2,8.8,14.1,13.6,0.0,maintenance_specialists,4
198,198,198,46.0,9.15,5,8,5,9.8,20.8,8.5,10.0,12.5,7.5,15.0,16.0,maintenance_specialists,4
199,199,199,28.0,14.54,3,20,4,20.9,26.5,10.6,0.0,17.6,0.0,9.1,15.3,full_service_partners,3
200,200,200,50.0,1.36,5,11,3,18.0,20.9,3.3,0.0,16.0,13.1,8.7,20.1,full_stack_enterprise,2
201,201,201,53.0,24.22,4,14,2,25.2,18.2,4.8,17.6,7.6,4.8,6.9,14.8,devops_specialists,8
202,202,202,61.0,0.0,3,13,5,20.0,21.1,8.3,20.7,10.6,1.6,12.7,5.0,devops_specialists,8
203,203,203,61.0,1.86,2,21,2,12.3,25.3,9.6,5.6,16.1,6.0,3.0,22.1,full_stack_enterprise,2
204,204,204,24.0,23.41,4,9,7,14.2,20.7,21.0,8.7,6.7,10.5,13.8,4.3,innovation_focused,6
205,205,205,31.0,30.36,1,14,1,29.1,14.7,5.4,4.1,11.4,14.6,11.9,8.9,security_focused,7
206,206,206,53.0,12.68,2,21,3,11.1,15.7,17.6,14.5,8.4,6.9,15.7,10.2,technical_diversified,5
207,207,207,53.0,14.63,6,16,6,11.9,26.0,14.3,14.5,1.8,9.5,10.7,11.3,backend_focused,1
208,208,208,53.0,22.27,1,16,2,12.0,22.7,12.7,13.5,11.8,8.3,15.1,4.0,technical_diversified,5
209,209,209,100.0,17.32,4,20,3,23.9,14.8,21.1,17.3,0.0,2.2,8.2,12.5,frontend_specialists,0
210,210,210,54.0,12.01,2,21,3,26.7,18.2,14.3,0.0,22.9,10.5,7.5,0.0,full_service_partners,3
211,211,211,62.0,11.12,1,10,1,24.6,25.5,12.9,7.4,1.8,0.0,2.8,24.9,full_stack_enterprise,2
212,212,212,59.0,2.47,1,13,5,18.4,25.9,18.3,4.4,5.4,4.8,3.6,19.3,full_stack_enterprise,2
213,213,213,55.0,16.86,2,8,3,12.5,15.7,5.2,6.0,12.0,12.4,15.2,21.0,full_stack_enterprise,2
214,214,214,40.0,14.26,5,11,5,14.5,23.5,18.4,19.3,7.8,2.8,0.0,13.6,devops_specialists,8
215,215,215,56.0,11.5,7,12,4,18.7,22.9,11.1,8.3,10.1,13.9,9.9,5.1,backend_focused,1
216,216,216,33.0,6.99,4,16,1,9.9,14.4,20.3,4.1,13.1,19.2,7.8,11.2,frontend_specialists,0
217,217,217,41.0,7.8,4,10,4,22.4,21.7,7.0,5.4,1.3,12.7,19.2,10.3,technical_diversified,5
218,218,218,38.0,19.95,3,16,1,26.8,33.8,6.7,6.1,9.9,8.1,4.0,4.5,backend_infrastructure,9
219,219,219,46.0,22.05,2,21,2,25.0,22.5,13.7,12.4,5.3,10.2,11.0,0.0,frontend_specialists,0
220,220,220,80.0,12.38,4,12,2,17.1,21.3,5.6,4.1,18.0,9.7,18.8,5.5,technical_diversified,5
222,222,222,55.0,8.17,2,9,5,14.0,17.7,19.2,5.6,11.0,20.7,7.0,4.8,security_focused,7
223,223,223,21.0,22.49,6,16,7,20.8,25.7,13.5,11.0,0.0,7.5,16.3,5.3,innovation_focused,6
224,224,224,38.0,15.25,1,18,6,14.9,21.7,13.7,16.0,10.8,8.8,0.0,14.1,devops_specialists,8
225,225,225,61.0,17.94,2,19,5,10.6,17.3,1.5,15.5,1.0,13.4,14.8,25.9,full_stack_enterprise,2
226,226,226,46.0,17.87,1,20,5,19.8,16.7,9.5,12.9,9.6,17.7,0.0,13.8,security_focused,7
227,227,227,29.0,12.54,1,18,6,23.7,18.6,15.1,6.3,13.8,6.7,10.4,5.3,innovation_focused,6
228,228,228,34.0,5.68,2,20,5,24.5,10.7,14.7,3.5,0.8,17.0,13.9,15.0,security_focused,7
229,229,229,55.0,7.03,3,13,1,21.5,22.2,13.8,6.5,11.6,12.6,9.2,2.7,frontend_specialists,0
230,230,230,34.0,24.02,7,13,7,20.2,27.2,19.6,10.3,12.1,3.5,7.1,0.0,frontend_specialists,0
